DELEVAR,VARINMODEL,nummissvar,modelnum,age3_lin_beta,age3_sp1_beta,age3_sp2_beta,gender_beta,R5EATA_beta,R5CANCRE_beta,R5DIABE_beta,heart1_beta,heart2_beta,R5HIBPE_beta,R5MEALSA_beta,R5MONEYA_beta,h5lvalone_beta,R5LUNGE_beta,R5PUSHA_beta,R5WALKSA_beta,bmi3_lin_beta,bmi3_sp1_beta,bmi3_sp2_beta,smoking1_beta,smoking2_beta,stroke1_beta,stroke2_beta
R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,10,0.0416570529,0.0855112208,-0.278805217,-0.220666214,0.336555892,0.1037949019,0.1641989374,0.0089054683,-0.146621083,0.0767188172,0.234777518,0.3782220972,-0.12955171,,0.1063173376,0.1757352949,0.0048479065,0.0111595093,-0.023331866,0.0113939337,-0.084845556,0.2172975936,0.2065852677
R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,11,0.0434507785,0.0790399715,-0.260328623,-0.240042716,0.3541753627,0.1044403733,0.1659039355,0.018347844,-0.121148808,0.0805102639,0.2661514145,0.3868927463,-0.127073146,-0.035454182,,0.2054591971,0.0008685784,0.0213218619,-0.049855661,0.015563726,-0.078992973,0.2233014303,0.2283916572
R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,12,0.0405836544,0.0976807644,-0.308248584,-0.232783279,0.3512343506,0.1063061404,0.1795328573,0.0291209041,-0.104316082,0.0834312047,0.285535797,0.3844422579,-0.129143191,-0.018785693,0.1525468266,,0.0015538388,0.0297581428,-0.074551907,0.0197149344,-0.043810084,0.2325894496,0.2317046264
bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,1,13,0.0385372462,0.0888892467,-0.286267189,-0.214209303,0.3523303425,0.1026443322,0.1741827383,0.0077681399,-0.14313614,0.0856562501,0.2287062708,0.3700011556,-0.126987365,-0.051511223,0.1066164306,0.1965418267,,,,0.0155561272,-0.102801748,0.2113753138,0.2013198686
smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,1,14,0.0420900047,0.08719925,-0.284463137,-0.217740262,0.3338287381,0.1041936303,0.1641451263,0.0122389797,-0.133942673,0.0766603866,0.2409140742,0.3760816787,-0.13295996,-0.050198331,0.1083461167,0.1728417236,0.0060369965,0.0101676952,-0.021379381,,,0.2201648108,0.2108206016
stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,1,15,0.041024812,0.0905051435,-0.296266634,-0.212595463,0.3355387809,0.1079800254,0.1661526343,0.0181995251,-0.113934056,0.0860581678,0.2435319912,0.4029347436,-0.131359288,-0.040623316,0.1164829532,0.1872795863,0.0059404282,0.0038885636,-0.000277162,0.0180703763,-0.081733132,,
R5EATA stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,16,0.0408266932,0.0933429533,-0.304723643,-0.214678535,,0.1073054509,0.1634789352,0.0162363976,-0.10957012,0.0872134273,0.2724782839,0.4146440109,-0.133497498,-0.037766055,0.1192757395,0.1884768264,0.006561236,0.0046729164,-0.005272573,0.017306694,-0.079290106,,
R5EATA smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,17,0.0419755752,0.089461061,-0.291340062,-0.219938054,,0.103470547,0.1614856652,0.0105057134,-0.129319054,0.0777867908,0.2695555984,0.3866298114,-0.134747224,-0.047134064,0.1110651193,0.174327662,0.0065658173,0.0111035896,-0.02676787,,,0.2185892375,0.2113497713
R5EATA heart1 heart2,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,18,0.0418789193,0.0866508012,-0.283333884,-0.222252108,,0.1045746846,0.1576670511,,,0.0775914533,0.264669949,0.3839871927,-0.132081641,-0.052492821,0.107702473,0.1766230031,0.0058716278,0.0096742012,-0.020589268,0.0118154986,-0.075903114,0.2110074197,0.202287608
R5EATA bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,19,0.0383544629,0.0913448046,-0.293827653,-0.215417731,,0.1019287515,0.1719651477,0.0059018003,-0.138416314,0.0873346473,0.2582246622,0.3809473872,-0.128807182,-0.049185083,0.1092815998,0.1983361495,,,,0.0145239303,-0.101283345,0.2098012385,0.2011729281
R5EATA R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,20,0.0404156526,0.1004790944,-0.316633928,-0.235295699,,0.105508982,0.1768078178,0.0274818221,-0.098777471,0.0845986649,0.3161600029,0.3957578165,-0.131325118,-0.015226264,0.1557479231,,0.0021692047,0.0308587141,-0.080709009,0.0187807315,-0.041243605,0.231089475,0.2322295711
R5EATA R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,21,0.043398003,0.0812697463,-0.267108815,-0.242726176,,0.1037287082,0.1632055792,0.0168234383,-0.115091653,0.081817465,0.2973063055,0.3982341055,-0.129016878,-0.031948685,,0.2075017675,0.0014237442,0.0223988994,-0.055771329,0.0144506209,-0.076483836,0.2218357327,0.2296924215
R5EATA R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,22,0.0406187071,0.0949256388,-0.301208086,-0.217331247,,0.100643937,0.1636464056,0.0040602439,-0.127331431,0.0781560352,0.3792075602,,-0.132020995,-0.048352063,0.1192624807,0.1837415627,0.0049928748,0.0090864527,-0.016765243,0.0125724586,-0.076451372,0.2358631481,0.2480455643
R5EATA R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,23,0.0407356022,0.0926244588,-0.300269708,-0.216256052,,0.0988943538,0.160408494,0.0105063348,-0.127642197,0.077082956,,0.4546246824,-0.134374726,-0.032603761,0.1247387908,0.1936302691,0.0042546061,0.01430556,-0.035521855,0.0110073151,-0.083221426,0.208604738,0.2326485489
R5EATA R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,24,0.0415449396,0.0878772609,-0.285975142,-0.2226516,,0.103062185,0.1613975809,0.0072428456,-0.140807479,0.0777881001,0.2641449305,0.3884196286,-0.131503711,,0.1092349669,0.177200594,0.0054174845,0.0121414115,-0.028943143,0.0105429532,-0.082232083,0.2159522276,0.2071345316
R5EATA R5HIBPE,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,25,0.0410857442,0.0909705065,-0.295186075,-0.22736962,,0.1021985918,0.1737022494,0.0145032643,-0.130229965,,0.2669305795,0.3884264397,-0.13248538,-0.044922711,0.1150584014,0.1841638923,0.0069678241,0.0109652871,-0.027177299,0.0102645387,-0.081267825,0.2293215748,0.2182275269
R5EATA R5DIABE,age3_lin age3_sp1 age3_sp2 gender R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,26,0.0415540844,0.0875163632,-0.28725341,-0.211177137,,0.1029559204,,0.0142659441,-0.120172415,0.0911783823,0.2678251663,0.3912612237,-0.130569466,-0.049870781,0.113771868,0.189824711,0.0065460395,0.0130354827,-0.033277531,0.0136959732,-0.080909374,0.2144379739,0.224732616
R5EATA R5CANCRE,age3_lin age3_sp1 age3_sp2 gender R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,27,0.0415125488,0.090587974,-0.295690628,-0.217465799,,,0.1605788616,0.0122507607,-0.137095307,0.0772413692,0.2622417268,0.385583769,-0.131291303,-0.045494229,0.1118505436,0.1812722165,0.0049037756,0.0124660195,-0.028614414,0.0172410076,-0.075704168,0.2192562893,0.2161156621
R5EATA H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,28,0.0386344111,0.0874658133,-0.283179522,-0.186296859,,0.1018380799,0.158731472,0.0086399361,-0.13599579,0.0786666901,0.2751833784,0.387522098,,-0.04177709,0.1073531766,0.1794697351,0.0053534481,0.0093668058,-0.019013381,0.0096479523,-0.095666228,0.2151174713,0.2210005798
R5CANCRE stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,29,0.0413131039,0.0919278345,-0.302214821,-0.208159628,0.3330968889,,0.1664944007,0.0220381477,-0.116027987,0.0857019639,0.2384329675,0.4015526801,-0.130963028,-0.042559379,0.1174456434,0.1889259609,0.0057741891,0.0038075738,0.0005595724,0.0229424567,-0.078890657,,
R5CANCRE smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,30,0.0423315404,0.0887524235,-0.290700449,-0.212060894,0.3312418967,,0.1643885969,0.0158520305,-0.136366244,0.0762356749,0.2350892585,0.374040135,-0.132475413,-0.051496096,0.1092252658,0.1744005339,0.0058408621,0.010206264,-0.020852336,,,0.2230870749,0.2179343166
R5CANCRE heart1 heart2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,31,0.0423073413,0.0856999568,-0.282075427,-0.215398191,0.3275600714,,0.1605250373,,,0.0766152541,0.2306352206,0.3716155307,-0.129891958,-0.058408392,0.1059117321,0.1769861811,0.0051353065,0.0085966184,-0.014062589,0.0170679801,-0.075791883,0.2154907481,0.2077570512
R5CANCRE bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,32,0.0388538901,0.0901635205,-0.291634991,-0.210170903,0.3499309393,,0.1741710187,0.0114207835,-0.146043779,0.0851331883,0.2229921701,0.3681965381,-0.126679296,-0.05335801,0.1076191544,0.1978428357,,,,0.0199100138,-0.100207627,0.2144067368,0.2077665601
R5CANCRE R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,33,0.0407539646,0.0995925826,-0.315324439,-0.228939985,0.3484490067,,0.1798681329,0.0328879537,-0.106579782,0.083099575,0.2801473153,0.3826768659,-0.12883223,-0.020515706,0.1537177917,,0.0014020066,0.0299015653,-0.074611811,0.0242354887,-0.041182398,0.2355900631,0.2390021372
R5CANCRE R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,34,0.0436988413,0.0806791773,-0.266796136,-0.235868305,0.3517792106,,0.166196821,0.022057538,-0.123418372,0.0802355028,0.2607500577,0.3848038272,-0.126700068,-0.037390088,,0.207023046,0.0006020274,0.021532855,-0.049734467,0.0199212429,-0.076576437,0.226075066,0.235123777
R5CANCRE R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,35,0.040730404,0.0951034261,-0.303338219,-0.211248632,0.3823882752,,0.1665752703,0.0099363575,-0.137412268,0.0769113532,0.3381406097,,-0.129842666,-0.055183512,0.1165603474,0.1834625281,0.0043756565,0.0072029298,-0.007462939,0.0184160157,-0.076136825,0.2389564107,0.2499412685
R5CANCRE R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,36,0.0411644238,0.0907262514,-0.295764008,-0.210851387,0.4038372177,,0.1637572803,0.0153616181,-0.137904755,0.0754923985,,0.4310139236,-0.131514894,-0.039547435,0.120264917,0.1914026863,0.0034835446,0.0132053315,-0.028509025,0.016489112,-0.083373078,0.2141157775,0.23595067
R5CANCRE R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,37,0.0419094713,0.0869966757,-0.284748105,-0.216512659,0.333955613,,0.1644898724,0.0124414952,-0.149662344,0.0763705659,0.2289781809,0.3762909558,-0.129152165,,0.1070639049,0.1769634239,0.0046359699,0.0112785681,-0.023097605,0.0156685333,-0.082670582,0.2201119846,0.2131533952
R5CANCRE R5HIBPE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,38,0.0414099503,0.0902214501,-0.294332096,-0.221022372,0.3425814645,,0.176646361,0.0197948673,-0.138763195,,0.2316411096,0.3760198482,-0.130210413,-0.050156433,0.1129829387,0.1841415324,0.0061357036,0.0099643145,-0.020671734,0.0156815653,-0.081407446,0.2331932562,0.223786323
R5CANCRE R5DIABE,age3_lin age3_sp1 age3_sp2 gender R5EATA heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,39,0.0419246566,0.0865280436,-0.285717501,-0.204930295,0.3225221521,,,0.0195570602,-0.127215296,0.0901990283,0.2339482054,0.3788366387,-0.128197858,-0.055143435,0.1119341802,0.190131511,0.005762661,0.012181593,-0.027450612,0.0191215926,-0.080506139,0.2188573096,0.230704454
R5CANCRE H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,40,0.0389846015,0.0868185491,-0.282554186,-0.180661914,0.3501544251,,0.1616741116,0.0138717944,-0.144342508,0.0772762355,0.2396571301,0.375238069,,-0.046886621,0.1053899823,0.1794123616,0.0045168786,0.0086103793,-0.013307081,0.0151835944,-0.095582451,0.2190802582,0.2262882029
R5DIABE stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,41,0.0412935939,0.0893123334,-0.295215139,-0.201942383,0.3212198484,0.1084570107,,0.024329192,-0.097343196,0.1003903934,0.2458606131,0.4084380548,-0.130441404,-0.047090029,0.1198235666,0.1976988069,0.0075900143,0.0039056985,-0.002760198,0.0191444109,-0.084418092,,
R5DIABE smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,42,0.0423845168,0.0856758453,-0.282168382,-0.207006297,0.3196946075,0.104547697,,0.0180723856,-0.119131258,0.0906582422,0.2419140263,0.3803585842,-0.131982027,-0.056704261,0.1112350374,0.182780478,0.0075808765,0.0107313648,-0.02555926,,,0.2183874098,0.2262163225
R5DIABE heart1 heart2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,43,0.0423561125,0.0826340893,-0.2736252,-0.208799513,0.3165544311,0.105687726,,,,0.0907675608,0.2377728825,0.3779545493,-0.129051866,-0.061213105,0.1086452251,0.1862784797,0.0067145393,0.009397913,-0.019543015,0.0136868017,-0.081252159,0.2115601286,0.2168447603
R5DIABE bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,44,0.0384401676,0.0876806855,-0.284874412,-0.2012568,0.3403632336,0.1026312269,,0.0138297461,-0.12747412,0.102094828,0.2281765314,0.3738900021,-0.125256947,-0.059224007,0.1093180752,0.2094009522,,,,0.0164928095,-0.109059767,0.2083913421,0.2164178819
R5DIABE R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,45,0.0408484919,0.0963221083,-0.305925103,-0.2219875,0.3360390996,0.1068240274,,0.0366432095,-0.085342519,0.0991727943,0.2896618925,0.3891953411,-0.127547488,-0.024054376,0.1581778383,,0.0029802868,0.0316123708,-0.082471437,0.0213548309,-0.044068631,0.2310428015,0.2498512231
