DELEVAR,VARINMODEL,nummissvar,modelnum,age3_lin_beta,age3_sp1_beta,age3_sp2_beta,gender_beta,R5EATA_beta,R5CANCRE_beta,R5DIABE_beta,heart1_beta,heart2_beta,R5HIBPE_beta,R5MEALSA_beta,R5MONEYA_beta,h5lvalone_beta,R5LUNGE_beta,R5PUSHA_beta,R5WALKSA_beta,bmi3_lin_beta,bmi3_sp1_beta,bmi3_sp2_beta,smoking1_beta,smoking2_beta,stroke1_beta,stroke2_beta
R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,10,0.0508096879,0.0336105404,-0.227634146,-0.24629208,0.2546264092,0.0553730733,0.1040291864,-0.022213299,-0.155440669,0.0196135048,0.201029953,0.2617764114,-0.018341161,,0.0795121708,0.2193423932,0.018355403,-0.044366197,0.1296138164,-0.03648943,-0.200581906,0.2603907352,0.1491078945
R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,11,0.0505335611,0.036526058,-0.237075107,-0.261179072,0.2598871056,0.0553864045,0.0996320023,-0.011668505,-0.100518842,0.0218150693,0.2260831222,0.2693338401,-0.018581461,-0.213304008,,0.2600476945,0.0148001558,-0.03788866,0.1156088756,-0.019154017,-0.178974859,0.2719484702,0.1572689158
R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,1,12,0.0486802726,0.0519068852,-0.274775905,-0.258837846,0.2832549218,0.0614345303,0.1179418117,0.0057731576,-0.069842194,0.0289734228,0.2538489322,0.2664762057,-0.021269872,-0.184255841,0.1546215358,,0.0130101016,-0.020376257,0.0672096931,-0.012394137,-0.13637883,0.2831835133,0.1739100529
bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,1,13,0.0480978065,0.0406253238,-0.248279066,-0.238978626,0.2416024171,0.0548649027,0.1039430238,-0.018928923,-0.116614378,0.0247294969,0.2093284082,0.2583762237,-0.020331793,-0.227050791,0.0867502118,0.2412834133,,,,-0.019353278,-0.194364514,0.2663037022,0.1424871803
smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,1,14,0.0509489976,0.0393343819,-0.244922108,-0.25615509,0.2491826464,0.0555824674,0.098936904,-0.014231873,-0.107919535,0.0198916928,0.2129075057,0.2580036135,-0.027125828,-0.234789185,0.0887232246,0.223024023,0.0194929225,-0.045676713,0.1340798251,,,0.2688871635,0.1427115362
stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,1,15,0.0501770618,0.0375312625,-0.241996361,-0.237987452,0.2607038927,0.0556813929,0.0974661884,-0.008369306,-0.103318313,0.0277575275,0.2183969522,0.2774110531,-0.021805692,-0.21855737,0.0969845536,0.2432139961,0.017065521,-0.045036601,0.1348884841,-0.015095915,-0.180844397,,
R5EATA stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,16,0.0502100201,0.0382155936,-0.243870797,-0.236922726,,0.0520431346,0.1005982618,-0.011074136,-0.106242527,0.027966636,0.2618107521,0.2934002067,-0.024685693,-0.221077554,0.1022427601,0.2492845544,0.0154704388,-0.040789288,0.1223544202,-0.012646726,-0.179745228,,
R5EATA smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,17,0.0510732935,0.0394905517,-0.245339288,-0.254811633,,0.0522750856,0.1015672642,-0.016685816,-0.112133679,0.0195341411,0.2525429113,0.2714701761,-0.029548175,-0.236794914,0.0928802792,0.2283208483,0.0178051778,-0.040923079,0.1200309602,,,0.2651277678,0.1710588823
R5EATA heart1 heart2,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,18,0.0496873352,0.0377550152,-0.239245722,-0.247969416,,0.0502960267,0.0957237028,,,0.0144771812,0.247472467,0.2728787814,-0.024599429,-0.237333968,0.089223016,0.2342096313,0.0157595692,-0.040314008,0.1209937711,-0.018678636,-0.176854008,0.2605183776,0.1672518311
R5EATA bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,19,0.0483110161,0.040572884,-0.247975164,-0.238792799,,0.0514133844,0.1062872529,-0.021329015,-0.120788968,0.0238433765,0.2478848584,0.2719452213,-0.022699307,-0.229177746,0.0910544468,0.2460078919,,,,-0.017510428,-0.192759915,0.2627351171,0.170632464
R5EATA R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,20,0.0487700552,0.0524125595,-0.275852219,-0.258921417,,0.0573492527,0.1214201074,0.0037654643,-0.072970701,0.0287403843,0.2994712961,0.282081683,-0.024370627,-0.185611583,0.1609194837,,0.0110852047,-0.014429266,0.0494396387,-0.010143299,-0.135010119,0.2792865668,0.2065984191
R5EATA R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,21,0.0506916506,0.0366493528,-0.237351568,-0.261430752,,0.0516542488,0.1025965948,-0.013972577,-0.104153143,0.0216329689,0.268405259,0.2844351791,-0.021161037,-0.215321077,,0.266551663,0.0129534479,-0.032685087,0.1002835194,-0.017001684,-0.178299629,0.2682695143,0.1876849272
R5EATA R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,22,0.0499491408,0.0389156012,-0.238148846,-0.239160147,,0.0538564282,0.1036836106,-0.022716252,-0.114924758,0.0189143413,0.3548258071,,-0.026054826,-0.228914058,0.1026451322,0.2425376829,0.0151602179,-0.041910581,0.1285384299,-0.019532448,-0.177134755,0.2755661169,0.1955339734
R5EATA R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,23,0.0497643923,0.0382519653,-0.237970064,-0.243897932,,0.050169125,0.0987684095,-0.022253043,-0.111287459,0.016856387,,0.3681010624,-0.028608672,-0.218213501,0.1078416505,0.2546113356,0.0141401798,-0.03487558,0.1042024903,-0.018146715,-0.183308507,0.2631687305,0.2030082702
R5EATA R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,24,0.0510174566,0.0333287583,-0.22668011,-0.245842037,,0.05146808,0.106844177,-0.024902836,-0.159309088,0.0193288094,0.2400717981,0.2769171657,-0.020777872,,0.0837701551,0.2244066308,0.0166950768,-0.03946939,0.1149873275,-0.034698662,-0.200361483,0.2563995349,0.1775322177
R5EATA R5HIBPE,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,25,0.0497084119,0.0388507186,-0.243133328,-0.245066776,,0.0507447585,0.1026140894,-0.0187852,-0.116924675,,0.2498757606,0.2745268963,-0.023059073,-0.226131064,0.0950609073,0.2413094363,0.0159046547,-0.039575624,0.1179605894,-0.018819475,-0.181041156,0.2663899604,0.1749220745
R5EATA R5DIABE,age3_lin age3_sp1 age3_sp2 gender R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,26,0.0494635639,0.0393433336,-0.245477709,-0.238376839,,0.0517596625,,-0.017408556,-0.110041385,0.0264103354,0.2492912449,0.277427835,-0.022437749,-0.230975462,0.0962155684,0.2464633831,0.0157885383,-0.037720817,0.113806309,-0.019578765,-0.182610345,0.263509084,0.1763495539
R5EATA R5CANCRE,age3_lin age3_sp1 age3_sp2 gender R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,27,0.0498712773,0.0390075809,-0.244353419,-0.240860473,,,0.0999369987,-0.018977463,-0.118431599,0.016941731,0.2494412545,0.2751659474,-0.022436145,-0.22583818,0.0942803342,0.2412230792,0.0153210751,-0.038939779,0.1170613606,-0.01711544,-0.180687535,0.2638595263,0.174244757
R5EATA H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5CANCRE R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,28,0.0492286,0.0385394244,-0.241773297,-0.23704537,,0.0511406617,0.0995958784,-0.020321223,-0.121292467,0.0182953905,0.2521976041,0.2751470181,,-0.225249812,0.0937015158,0.2403736107,0.0155140751,-0.039726098,0.1193314544,-0.019348252,-0.183376398,0.2641674841,0.1742719868
R5CANCRE stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,29,0.050388421,0.0379599914,-0.244240254,-0.235158355,0.2570679182,,0.0976673797,-0.007177825,-0.102042622,0.0266285395,0.2181127784,0.2787042498,-0.021506136,-0.219003657,0.097272766,0.2445417479,0.0169501275,-0.044732603,0.134192258,-0.013394719,-0.180843589,,
R5CANCRE smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,30,0.0511721063,0.0397174059,-0.247041878,-0.252881409,0.2456795507,,0.09915623,-0.012954286,-0.106687497,0.0188288407,0.2124956674,0.2590421514,-0.026837326,-0.23472081,0.0889229802,0.2242215911,0.0194137807,-0.045447521,0.133564209,,,0.268622094,0.1447959527
R5CANCRE heart1 heart2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,31,0.049785289,0.0381582737,-0.241641877,-0.245273085,0.2489070276,,0.0934395015,,,0.0141025164,0.2072010769,0.2601409623,-0.021680719,-0.234902484,0.0855698082,0.2307083401,0.0172618991,-0.044682805,0.1342719446,-0.019106076,-0.177776203,0.2646176634,0.1405416043
R5CANCRE bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,32,0.0483191472,0.0409619916,-0.250224589,-0.236268121,0.2378963979,,0.1041799894,-0.017703248,-0.115604283,0.0236082354,0.2088694327,0.2595029991,-0.020058988,-0.227201631,0.0869856766,0.2425406477,,,,-0.017793132,-0.194503919,0.2660328115,0.1444983201
R5CANCRE R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,33,0.0488657841,0.0525434145,-0.277567104,-0.256045944,0.2790286848,,0.1183384306,0.0072587611,-0.068272629,0.0278050576,0.2535725768,0.267836996,-0.020986136,-0.184292528,0.1552503661,,0.0129269126,-0.020006175,0.0661761934,-0.010597704,-0.136328595,0.2830984856,0.1767767403
R5CANCRE R5PUSHA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,34,0.0507487199,0.0369512362,-0.239293666,-0.258397737,0.2560939446,,0.0998563754,-0.010416595,-0.099216273,0.0207451281,0.2257968119,0.2704219944,-0.018324451,-0.213506849,,0.2613016411,0.0146686159,-0.037557127,0.114873503,-0.017582201,-0.179076919,0.271699188,0.1593189135
R5CANCRE R5MONEYA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,35,0.049912806,0.0397129533,-0.242006727,-0.237168168,0.2749117672,,0.10009488,-0.0177241,-0.109882764,0.0183895105,0.3044698586,,-0.022865429,-0.225428871,0.0974600996,0.2380146843,0.01687997,-0.04686772,0.1435333896,-0.019959127,-0.178237013,0.2789976255,0.1641576115
R5CANCRE R5MEALSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,36,0.0498108718,0.0385243434,-0.240422449,-0.242076859,0.3100787483,,0.0959120455,-0.017571675,-0.107195304,0.0159784152,,0.332680191,-0.02426655,-0.218157893,0.1000018005,0.2466598812,0.016355487,-0.041191609,0.1230971212,-0.019012278,-0.183428332,0.2678635246,0.1643600196
R5CANCRE R5LUNGE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,37,0.0510361229,0.033961091,-0.229654901,-0.243539821,0.2505906565,,0.1042553011,-0.021014961,-0.154549708,0.0184768948,0.2007386862,0.2629639965,-0.018099061,,0.079746323,0.2205352444,0.0182489032,-0.044107818,0.1290376154,-0.034952439,-0.200750757,0.2603583026,0.1511822277
R5CANCRE R5HIBPE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,38,0.0497848173,0.0391951628,-0.245238845,-0.242860563,0.2457082945,,0.1000021833,-0.015050626,-0.111769136,,0.2097494725,0.26196529,-0.020272432,-0.223982496,0.0910799026,0.2372876339,0.0174409561,-0.044033815,0.1314436915,-0.019241046,-0.181688833,0.2697566434,0.1480801959
R5CANCRE R5DIABE,age3_lin age3_sp1 age3_sp2 gender R5EATA heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,39,0.0495713332,0.0394988078,-0.246933366,-0.236359399,0.2505961648,,,-0.013683497,-0.104771917,0.0254467962,0.208671947,0.2640375268,-0.019578242,-0.228718779,0.0921271789,0.2423033674,0.017286549,-0.042079025,0.1269525829,-0.020030962,-0.183305362,0.2671391673,0.148847282
R5CANCRE H5LVALONE,age3_lin age3_sp1 age3_sp2 gender R5EATA R5DIABE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,40,0.0493731973,0.0388336874,-0.243756646,-0.235678876,0.2472466554,,0.097089798,-0.016493284,-0.115704587,0.017504019,0.2117500003,0.2623429429,,-0.223219537,0.0897719154,0.2363224897,0.0170364538,-0.044031919,0.1323096883,-0.019696928,-0.183689848,0.2676558093,0.1473317771
R5DIABE stroke1 stroke2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2,2,41,0.0500051355,0.0380671515,-0.244592581,-0.233126033,0.2658540851,0.0560137545,,-0.00560194,-0.093694414,0.0360468784,0.2172395919,0.2802358279,-0.021434647,-0.223708787,0.0990694509,0.2493462547,0.0174692166,-0.043875814,0.1321619345,-0.016043502,-0.183256583,,
R5DIABE smoking1 smoking2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 stroke1 stroke2,2,42,0.0507299138,0.0400175432,-0.247776788,-0.251632947,0.2538526647,0.0559485922,,-0.011490563,-0.098365701,0.0282670998,0.2113792937,0.2604972838,-0.026849393,-0.240262287,0.0907154066,0.2289602206,0.0198897225,-0.044234143,0.1302969808,,,0.268478184,0.1457728646
R5DIABE heart1 heart2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,43,0.0493957509,0.0383407636,-0.242179522,-0.242921432,0.2569982212,0.05450885,,,,0.0232995906,0.2064469161,0.2614859351,-0.021360155,-0.238791293,0.0876243182,0.2357597705,0.0176978333,-0.043544437,0.131211343,-0.021646466,-0.180067087,0.2646687567,0.1417071266
R5DIABE bmi3_lin bmi3_sp1 bmi3_sp2,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA R5WALKSA smoking1 smoking2 stroke1 stroke2,2,44,0.0476268417,0.0414156268,-0.251420521,-0.233155335,0.2461846514,0.0552855991,,-0.016195926,-0.106449343,0.0346133876,0.2074830425,0.2605765615,-0.019725459,-0.233007135,0.0887024779,0.2496333885,,,,-0.020441759,-0.19900011,0.2655960041,0.1449930753
R5DIABE R5WALKSA,age3_lin age3_sp1 age3_sp2 gender R5EATA R5CANCRE heart1 heart2 R5HIBPE R5MEALSA R5MONEYA H5LVALONE R5LUNGE R5PUSHA bmi3_lin bmi3_sp1 bmi3_sp2 smoking1 smoking2 stroke1 stroke2,2,45,0.048446593,0.0527584874,-0.278042941,-0.253289315,0.2897850983,0.0621482939,,0.009818668,-0.056544168,0.039128799,0.253523993,0.2693766628,-0.020678841,-0.189251577,0.1588529749,,0.0133257978,-0.017909151,0.0608047957,-0.01319217,-0.137404049,0.2830777662,0.1785547148
